date,time,latitude,longitude,number,step,surface,u10,v10
2020-01-01,0200,34.3,-118.35,0,0 days,0.0,-0.59243965,-1.7439947
2020-01-01,0200,34.3,-118.1,0,0 days,0.0,-0.95999336,-1.5099859
2020-01-01,0200,34.3,-117.85,0,0 days,0.0,-0.60635567,-1.7037115
2020-01-01,0200,34.3,-117.6,0,0 days,0.0,-0.38516426,-2.0008307
2020-01-01,0200,34.05,-119.1,0,0 days,0.0,3.0121746,-3.0729742
2020-01-01,0200,34.05,-118.85,0,0 days,0.0,1.9309978,-2.60752
2020-01-01,0200,34.05,-118.6,0,0 days,0.0,1.1929607,-2.1618414
2020-01-01,0200,34.05,-118.35,0,0 days,0.0,0.15023613,-1.2232428
2020-01-01,0200,34.05,-118.1,0,0 days,0.0,-0.33548164,-0.91208553
2020-01-01,0200,34.05,-117.85,0,0 days,0.0,-0.83511543,-1.1443853
2020-01-01,0200,34.05,-117.6,0,0 days,0.0,-0.90530586,-1.4102545
2020-01-01,0200,33.8,-119.1,0,0 days,0.0,4.938444,-4.159766
2020-01-01,0200,33.8,-118.85,0,0 days,0.0,3.8628826,-3.2970953
2020-01-01,0200,33.8,-118.6,0,0 days,0.0,2.5321941,-1.6066656
2020-01-01,0200,33.8,-118.35,0,0 days,0.0,1.3440838,-0.44809628
2020-01-01,0200,33.8,-118.1,0,0 days,0.0,0.09506035,-0.4430914
2020-01-01,0200,33.8,-117.85,0,0 days,0.0,-0.738924,-0.84494686
2020-01-01,0200,33.8,-117.6,0,0 days,0.0,-1.2106037,-1.1274176
2020-01-01,0200,33.55,-119.1,0,0 days,0.0,5.6161785,-4.680518
2020-01-01,0200,33.55,-118.85,0,0 days,0.0,4.8230877,-2.9532232
2020-01-01,0200,33.55,-118.6,0,0 days,0.0,3.4169598,-1.0519781
2020-01-01,0200,33.55,-118.35,0,0 days,0.0,1.9621258,0.002831459
2020-01-01,0200,33.55,-118.1,0,0 days,0.0,0.68050957,-0.2012701
2020-01-01,0200,33.55,-117.85,0,0 days,0.0,-0.19558907,-1.0086432
2020-01-01,0200,33.55,-117.6,0,0 days,0.0,-0.65652657,-1.2907476
2020-01-01,0200,33.3,-119.1,0,0 days,0.0,5.549406,-4.921363
2020-01-01,0200,33.3,-118.85,0,0 days,0.0,4.745207,-2.9584723
2020-01-01,0200,33.3,-118.6,0,0 days,0.0,2.9822674,-0.83273983
2020-01-01,0200,33.3,-118.35,0,0 days,0.0,1.504118,0.21389103
2020-01-01,0200,33.3,-118.1,0,0 days,0.0,0.98776054,0.37429142
2020-01-01,0200,33.3,-117.85,0,0 days,0.0,0.5918865,-0.112402916
2020-01-01,0200,33.3,-117.6,0,0 days,0.0,0.23568535,-0.26352596
2020-01-01,0200,33.05,-119.1,0,0 days,0.0,5.196501,-5.079566
2020-01-01,0200,33.05,-118.85,0,0 days,0.0,4.469328,-2.628028
2020-01-01,0200,33.05,-118.6,0,0 days,0.0,2.6542645,-0.4451666
2020-01-01,0200,33.05,-118.35,0,0 days,0.0,0.94991875,0.724267
2020-01-01,0200,33.05,-118.1,0,0 days,0.0,0.43771172,1.0545893
2020-01-01,0200,33.05,-117.85,0,0 days,0.0,0.8526287,1.3281488
2020-01-01,0200,33.05,-117.6,0,0 days,0.0,0.61605644,1.3835688
2020-01-01,0200,32.8,-119.1,0,0 days,0.0,4.7738934,-5.060767
2020-01-01,0200,32.8,-118.85,0,0 days,0.0,4.0835857,-2.522315
2020-01-01,0200,32.8,-118.6,0,0 days,0.0,2.5590496,-0.3127203
2020-01-01,0200,32.8,-118.35,0,0 days,0.0,0.90633965,0.73720646
2020-01-01,0200,32.8,-118.1,0,0 days,0.0,0.1882,0.94167423
2020-01-01,0200,32.8,-117.85,0,0 days,0.0,0.452116,1.1803217
2020-01-01,0200,32.8,-117.6,0,0 days,0.0,0.32272148,1.3384027
2020-01-01,0300,34.8,-119.1,0,0 days,0.0,0.20452404,-1.1157312
2020-01-01,0300,34.8,-118.85,0,0 days,0.0,0.7960768,-1.2595301
2020-01-01,0300,34.8,-118.6,0,0 days,0.0,0.5327711,-1.3452234
2020-01-01,0300,34.8,-118.35,0,0 days,0.0,0.06841564,-1.9553308
2020-01-01,0300,34.8,-118.1,0,0 days,0.0,-0.71735096,-0.85328007
2020-01-01,0300,34.8,-117.85,0,0 days,0.0,-0.5849047,-0.4087
2020-01-01,0300,34.8,-117.6,0,0 days,0.0,0.22124767,-0.299325
2020-01-01,0300,34.55,-119.1,0,0 days,0.0,-0.047062874,-1.6770105
2020-01-01,0300,34.55,-118.85,0,0 days,0.0,0.050593376,-2.021371
2020-01-01,0300,34.55,-118.6,0,0 days,0.0,-0.23883533,-2.1245203
2020-01-01,0300,34.55,-118.35,0,0 days,0.0,-0.7958422,-1.8231287
2020-01-01,0300,34.55,-118.1,0,0 days,0.0,-1.4157152,-0.9769373
2020-01-01,0300,34.55,-117.85,0,0 days,0.0,-0.64178944,-0.8984461
2020-01-01,0300,34.55,-117.6,0,0 days,0.0,0.12761974,-1.0313807
2020-01-01,0300,34.3,-119.1,0,0 days,0.0,0.17559338,-1.8764734
2020-01-01,0300,34.3,-118.85,0,0 days,0.0,0.018122673,-2.103036
2020-01-01,0300,34.3,-118.6,0,0 days,0.0,-0.27399158,-1.945199
2020-01-01,0300,34.3,-118.35,0,0 days,0.0,-0.7616625,-1.7305994
2020-01-01,0300,34.3,-118.1,0,0 days,0.0,-1.0809984,-1.6576014
2020-01-01,0300,34.3,-117.85,0,0 days,0.0,-0.5098314,-1.7730799
2020-01-01,0300,34.3,-117.6,0,0 days,0.0,-0.07257557,-1.8133631
2020-01-01,0300,34.05,-119.1,0,0 days,0.0,1.9778395,-2.9726648
2020-01-01,0300,34.05,-118.85,0,0 days,0.0,1.595027,-2.7674646
2020-01-01,0300,34.05,-118.6,0,0 days,0.0,1.1810865,-2.344491
2020-01-01,0300,34.05,-118.35,0,0 days,0.0,0.04766369,-1.3330164
2020-01-01,0300,34.05,-118.1,0,0 days,0.0,-0.47711658,-1.1712732
2020-01-01,0300,34.05,-117.85,0,0 days,0.0,-0.90033436,-1.3159266
2020-01-01,0300,34.05,-117.6,0,0 days,0.0,-0.837224,-1.2282801
2020-01-01,0300,33.8,-119.1,0,0 days,0.0,4.0193434,-4.2081385
2020-01-01,0300,33.8,-118.85,0,0 days,0.0,3.7699537,-3.7025232
2020-01-01,0300,33.8,-118.6,0,0 days,0.0,3.25323,-2.0671473
2020-01-01,0300,33.8,-118.35,0,0 days,0.0,2.0700026,-0.80530643
2020-01-01,0300,33.8,-118.1,0,0 days,0.0,0.19353771,-0.46473026
2020-01-01,0300,33.8,-117.85,0,0 days,0.0,-0.8412523,-0.6422205
2020-01-01,0300,33.8,-117.6,0,0 days,0.0,-1.3663988,-0.5813074
2020-01-01,0300,33.55,-119.1,0,0 days,0.0,4.814021,-4.858041
2020-01-01,0300,33.55,-118.85,0,0 days,0.0,4.954768,-3.6804285
2020-01-01,0300,33.55,-118.6,0,0 days,0.0,4.5353346,-1.780282
2020-01-01,0300,33.55,-118.35,0,0 days,0.0,3.4758863,-0.06800175
2020-01-01,0300,33.55,-118.1,0,0 days,0.0,1.579524,0.2414465
2020-01-01,0300,33.55,-117.85,0,0 days,0.0,-0.26727772,-0.33680058
2020-01-01,0300,33.55,-117.6,0,0 days,0.0,-0.96039295,-0.5783777
2020-01-01,0300,33.3,-119.1,0,0 days,0.0,4.7908278,-5.2343836
2020-01-01,0300,33.3,-118.85,0,0 days,0.0,4.9260817,-3.8834314
2020-01-01,0300,33.3,-118.6,0,0 days,0.0,4.663142,-1.615365
2020-01-01,0300,33.3,-118.35,0,0 days,0.0,3.712947,0.17980099
2020-01-01,0300,33.3,-118.1,0,0 days,0.0,2.432063,1.098258
2020-01-01,0300,33.3,-117.85,0,0 days,0.0,0.7765455,0.74169064
2020-01-01,0300,33.3,-117.6,0,0 days,0.0,-0.22284412,0.069205284
2020-01-01,0300,33.05,-119.1,0,0 days,0.0,4.5899,-5.4615564
2020-01-01,0300,33.05,-118.85,0,0 days,0.0,4.821101,-3.733407
2020-01-01,0300,33.05,-118.6,0,0 days,0.0,4.50616,-1.441659
2020-01-01,0300,33.05,-118.35,0,0 days,0.0,3.429988,0.4490881
2020-01-01,0300,33.05,-118.1,0,0 days,0.0,2.147029,1.4866858
2020-01-01,0300,33.05,-117.85,0,0 days,0.0,1.2311354,2.0071936
2020-01-01,0300,33.05,-117.6,0,0 days,0.0,0.24444103,1.6870031
2020-01-01,0300,32.8,-119.1,0,0 days,0.0,4.449275,-5.655038
2020-01-01,0300,32.8,-118.85,0,0 days,0.0,4.7605543,-3.8707361
2020-01-01,0300,32.8,-118.6,0,0 days,0.0,4.562312,-1.4710779
2020-01-01,0300,32.8,-118.35,0,0 days,0.0,3.4188795,0.35716915
2020-01-01,0300,32.8,-118.1,0,0 days,0.0,1.9126539,1.1949377
2020-01-01,0300,32.8,-117.85,0,0 days,0.0,1.0161695,1.605216
2020-01-01,0300,32.8,-117.6,0,0 days,0.0,0.10161877,1.7707434
2020-01-01,0400,34.8,-119.1,0,0 days,0.0,0.04309845,-0.58727074
2020-01-01,0400,34.8,-118.85,0,0 days,0.0,0.28992462,-0.9012356
2020-01-01,0400,34.8,-118.6,0,0 days,0.0,-0.052238464,-1.0793362
2020-01-01,0400,34.8,-118.35,0,0 days,0.0,-0.13536835,-1.5770168
2020-01-01,0400,34.8,-118.1,0,0 days,0.0,-0.7252121,-0.056264877
2020-01-01,0400,34.8,-117.85,0,0 days,0.0,-0.6412277,0.3886814
2020-01-01,0400,34.8,-117.6,0,0 days,0.0,0.06751251,0.20105934
2020-01-01,0400,34.55,-119.1,0,0 days,0.0,-0.24584198,-1.778677
2020-01-01,0400,34.55,-118.85,0,0 days,0.0,-0.05821991,-1.6794338
2020-01-01,0400,34.55,-118.6,0,0 days,0.0,-0.4123459,-1.7530422
2020-01-01,0400,34.55,-118.35,0,0 days,0.0,-1.0361252,-1.6545315
2020-01-01,0400,34.55,-118.1,0,0 days,0.0,-1.4713058,-0.53087425
2020-01-01,0400,34.55,-117.85,0,0 days,0.0,-0.55272675,-0.3908596
