longitude,latitude,elevation,slope,aspect,vegetation_cover,vegetation_type,fuel_vegetation_cover,fuel_vegetation_height
-118.359341,32.831932,30.27625,8.28019,18.09875,59.06625,7268.03,32.959375,117.8925
-118.489085,32.840916,2.905625,1.56633,2.93625,30.9675,7287.384375,20.271875,55.181875
-118.478273,32.840916,19.945,5.684711,10.751875,93.656875,7276.9875,49.5225,200.336875
-118.467461,32.840916,118.03,10.164925,19.748125,204.9475,7261.92375,102.32375,463.415
-118.456649,32.840916,196.635625,17.697204,35.39625,226.236875,7146.20125,112.198125,512.488125
-118.445837,32.840916,336.856875,11.753123,22.3325,222.8775,7136.018125,109.816875,502.7925
-118.435025,32.840916,334.986585,8.92564,16.321951,222.757317,7116.015854,111.117073,504.284146
-118.424213,32.840916,275.814024,14.117787,26.465244,214.589024,7129.817683,108.384756,488.471951
-118.413401,32.840916,294.5075,8.558596,16.195625,213.341875,7137.46125,108.534375,491.428125
-118.402589,32.840916,254.668125,12.978513,25.580625,220.789375,7148.494375,110.179375,503.17125
-118.391777,32.840916,272.668125,10.225319,19.869375,202.030625,7188.651875,102.198125,459.921875
-118.380965,32.840916,210.41625,16.252231,33.853125,185.78125,7216.063125,91.03875,401.88875
-118.370153,32.840916,47.812195,9.17906,19.176829,78.004878,7275.504268,40.934146,156.418293
-118.499897,32.849899,3.26625,0.918367,1.78625,42.3875,7400.17,26.156875,82.318125
-118.489085,32.849899,59.228125,9.030339,17.2725,172.94125,7413.08625,86.920625,383.830625
-118.478273,32.849899,135.148125,12.912552,24.875,227.144375,7208.745625,112.329375,516.03875
-118.467461,32.849899,234.544512,12.17787,22.516463,221.207927,7134.12439,109.515854,502.617683
-118.456649,32.849899,313.8825,21.062463,43.59375,219.59875,7237.949375,109.9125,486.31875
-118.445837,32.849899,416.4225,8.857823,17.22,220.990625,7171.0175,109.191875,496.238125
-118.435025,32.849899,410.826875,8.027294,15.505,216.838125,7173.190625,107.181875,490.663125
-118.424213,32.849899,357.165625,14.682346,29.271875,216.310625,7156.13375,108.161875,492.280625
-118.413401,32.849899,375.815,6.583581,12.2325,207.59625,7134.1875,105.419375,478.341875
-118.402589,32.849899,332.496951,10.339679,19.604268,214.416463,7160.74878,106.793293,484.935976
-118.391777,32.849899,199.384756,18.065621,37.383537,188.887195,7218.221341,91.896951,408.553659
-118.380965,32.849899,24.515,7.047591,14.968125,55.686875,7277.79875,30.7275,106.453125
-118.499897,32.858882,27.693293,5.614515,10.360366,124.913415,7301.52378,65.072561,273.263415
-118.489085,32.858882,132.13,12.383105,23.70375,226.58125,7234.2175,111.79625,512.7675
-118.478273,32.858882,231.5225,10.288618,20.179375,226.2425,7126.404375,111.5275,512.64
-118.467461,32.858882,343.890625,14.565041,29.089375,223.88625,7153.756875,110.85625,503.165
-118.456649,32.858882,439.2725,12.96806,26.14375,218.035625,7198.66,108.679375,487.56375
-118.445837,32.858882,475.045625,8.248067,16.053125,226.431875,7277.7425,108.229375,486.985625
-118.435025,32.858882,471.320732,6.798334,12.315244,228.734756,7214.737195,109.783537,496.990854
-118.424213,32.858882,408.620732,10.616725,20.421951,212.834146,7155.039024,106.40061,484.429878
-118.413401,32.858882,354.026875,16.098156,32.275,222.051875,7169.184375,109.854375,497.86625
-118.402589,32.858882,151.408125,19.944832,42.42875,175.546875,7214.199375,85.809375,377.31
-118.391777,32.858882,16.791875,4.941347,10.823125,42.673125,7318.63625,24.956875,77.51
-118.316094,32.858882,-37.005922,4823.907198,-37.005922,-26.046632,7228.006662,-26.046632,-26.046632
-118.305282,32.858882,-169.474576,26187.757287,-169.474576,-158.661017,6998.932203,-158.661017,-158.661017
-118.510709,32.867865,3.160625,1.401858,2.67375,39.68875,7323.43875,24.895625,73.436875
-118.499897,32.867865,102.681875,12.476771,25.160625,208.360625,7244.524375,103.62,464.43375
-118.489085,32.867865,235.454375,13.477097,26.223125,228.538125,7143.258125,112.444375,513.666875
-118.478273,32.867865,343.479375,15.152885,29.73875,223.23625,7154.84875,109.954375,500.213125
-118.467461,32.867865,428.716463,15.010113,29.444512,217.006098,7220.866463,109.283537,484.451829
-118.456649,32.867865,492.221951,6.422184,12.201829,222.406707,7166.180488,109.690244,502.443293
